table_name,field_name,language,translation
stops,stop_name,ja-Hrkt,みなとらく
stops,stop_name,ja-Hrkt,かぶしまち
stops,stop_name,ja-Hrkt,かみきたぬ
stops,stop_name,ja-Hrkt,こうりょう
stops,stop_name,ja-Hrkt,たかだて
stops,stop_name,ja-Hrkt,むつみなと
stops,stop_name,ja-Hrkt,かねはまえ
stops,stop_name,ja-Hrkt,ぎょこうと
stops,stop_name,ja-Hrkt,こながね
stops,stop_name,ja-Hrkt,しんみなと
stops,stop_name,ja-Hrkt,ふるみや
stops,stop_name,ja-Hrkt,せいすいじ
stops,stop_name,ja-Hrkt,にしれいえ
stops,stop_name,ja-Hrkt,ぐれーんた
stops,stop_name,ja-Hrkt,たてはなし
stops,stop_name,ja-Hrkt,びょういん
stops,stop_name,ja-Hrkt,はなみずが
stops,stop_name,ja-Hrkt,みなみかし
stops,stop_name,ja-Hrkt,なかねいち
stops,stop_name,ja-Hrkt,みなみうる
stops,stop_name,ja-Hrkt,いしどう
stops,stop_name,ja-Hrkt,こーぷるい
stops,stop_name,ja-Hrkt,はったろう
stops,stop_name,ja-Hrkt,れいえんみ
stops,stop_name,ja-Hrkt,あかさか
stops,stop_name,ja-Hrkt,おおすぎた
stops,stop_name,ja-Hrkt,しみずがわ
stops,stop_name,ja-Hrkt,しんあらま
stops,stop_name,ja-Hrkt,はったろう
stops,stop_name,ja-Hrkt,かねはまし
stops,stop_name,ja-Hrkt,のば
stops,stop_name,ja-Hrkt,まえやま
stops,stop_name,ja-Hrkt,みたてやま
stops,stop_name,ja-Hrkt,みどりがお
stops,stop_name,ja-Hrkt,かみあけど
stops,stop_name,ja-Hrkt,しほうせん
stops,stop_name,ja-Hrkt,ひがしきゅ
stops,stop_name,ja-Hrkt,はしかみえ
stops,stop_name,ja-Hrkt,おっこし
stops,stop_name,ja-Hrkt,かわらぎ
stops,stop_name,ja-Hrkt,すわがわら
stops,stop_name,ja-Hrkt,こだ
stops,stop_name,ja-Hrkt,どうぶつち
stops,stop_name,ja-Hrkt,ししょまえ
stops,stop_name,ja-Hrkt,しゃたくま
stops,stop_name,ja-Hrkt,にしこうこ
stops,stop_name,ja-Hrkt,ぴあどぅ
stops,stop_name,ja-Hrkt,むついちか
stops,stop_name,ja-Hrkt,さいじょう
stops,stop_name,ja-Hrkt,にしのたい
stops,stop_name,ja-Hrkt,よどのまつ
stops,stop_name,ja-Hrkt,じゅうさん
stops,stop_name,ja-Hrkt,ききょうの
stops,stop_name,ja-Hrkt,こうだんじ
stops,stop_name,ja-Hrkt,でぐちたい
stops,stop_name,ja-Hrkt,こなかのに
stops,stop_name,ja-Hrkt,はしかみほ
stops,stop_name,ja-Hrkt,へいわびょ
stops,stop_name,ja-Hrkt,いちかわち
stops,stop_name,ja-Hrkt,ささこ
stops,stop_name,ja-Hrkt,ちゅうおう
stops,stop_name,ja-Hrkt,だいにのぞ
stops,stop_name,ja-Hrkt,がすがいし
stops,stop_name,ja-Hrkt,せめんとま
stops,stop_name,ja-Hrkt,げすいどう
stops,stop_name,ja-Hrkt,はちもり
stops,stop_name,ja-Hrkt,ふぇりーふ
stops,stop_name,ja-Hrkt,やなぎばし
stops,stop_name,ja-Hrkt,いちかわう
stops,stop_name,ja-Hrkt,ちばようち
stops,stop_name,ja-Hrkt,いしわたり
stops,stop_name,ja-Hrkt,えきどおり
stops,stop_name,ja-Hrkt,ねじょうご
stops,stop_name,ja-Hrkt,はちのへき
stops,stop_name,ja-Hrkt,やなぎまち
stops,stop_name,ja-Hrkt,かいじょう
stops,stop_name,ja-Hrkt,こうせいね
stops,stop_name,ja-Hrkt,やまみち
stops,stop_name,ja-Hrkt,いちかわへ
stops,stop_name,ja-Hrkt,えぬてぃー
stops,stop_name,ja-Hrkt,じょうせん
stops,stop_name,ja-Hrkt,みなみはく
stops,stop_name,ja-Hrkt,なかじょう
stops,stop_name,ja-Hrkt,まべちおお
stops,stop_name,ja-Hrkt,こうぎょう
stops,stop_name,ja-Hrkt,さくらがお
stops,stop_name,ja-Hrkt,すいさんこ
stops,stop_name,ja-Hrkt,すいどうき
stops,stop_name,ja-Hrkt,ようかまち
stops,stop_name,ja-Hrkt,しもなが
stops,stop_name,ja-Hrkt,しょうねん
stops,stop_name,ja-Hrkt,ぬまだてさ
stops,stop_name,ja-Hrkt,ねじょう
stops,stop_name,ja-Hrkt,にっせきび
stops,stop_name,ja-Hrkt,はちのへだ
stops,stop_name,ja-Hrkt,いわぶちみ
stops,stop_name,ja-Hrkt,ききょうの
stops,stop_name,ja-Hrkt,ふじかく
stops,stop_name,ja-Hrkt,あさひがお
stops,stop_name,ja-Hrkt,ちょうじゃ
stops,stop_name,ja-Hrkt,ふるかわ
stops,stop_name,ja-Hrkt,こふなと
stops,stop_name,ja-Hrkt,いしどうに
stops,stop_name,ja-Hrkt,まちばたけ
stops,stop_name,ja-Hrkt,こなかのさ
stops,stop_name,ja-Hrkt,ねぎししょ
stops,stop_name,ja-Hrkt,ろうさいび
stops,stop_name,ja-Hrkt,いちかわ
stops,stop_name,ja-Hrkt,ぜいむしょ
stops,stop_name,ja-Hrkt,なんぶやま
stops,stop_name,ja-Hrkt,なかすか
stops,stop_name,ja-Hrkt,なかまち
stops,stop_name,ja-Hrkt,みなとたか
stops,stop_name,ja-Hrkt,いしてあら
stops,stop_name,ja-Hrkt,じゅうろく
stops,stop_name,ja-Hrkt,まつだてぐ
stops,stop_name,ja-Hrkt,あおばにち
stops,stop_name,ja-Hrkt,しびょう
stops,stop_name,ja-Hrkt,ゆうびんき
