route_id,service_id,trip_id
01001111,1_平日,01001111_1_平日_09:09:00
0038000854,1_平日,0038000854_1_平日_09:46:00
01001111,1_平日,01001111_1_平日_09:30:00
0038000854,1_平日,0038000854_1_平日_10:07:00
01001111,1_平日,01001111_1_平日_09:45:00
01001111,1_平日,01001111_1_平日_10:15:00
01001111,1_平日,01001111_1_平日_10:45:00
01001111,1_平日,01001111_1_平日_11:15:00
01001111,1_平日,01001111_1_平日_12:15:00
01001111,1_平日,01001111_1_平日_12:45:00
01001111,1_平日,01001111_1_平日_13:45:00
01001111,1_平日,01001111_1_平日_14:15:00
0038000854,1_平日,0038000854_1_平日_14:51:00
01001111,1_平日,01001111_1_平日_14:45:00
01001111,1_平日,01001111_1_平日_15:15:00
01001111,1_平日,01001111_1_平日_17:29:00
01001111,1_平日,01001111_1_平日_18:28:00
0038000854,1_平日,0038000854_1_平日_19:04:00
01001111,1_平日,01001111_1_平日_19:28:00
01001111,1_平日,01001111_1_平日_20:00:00
0038000854,1_平日,0038000854_1_平日_20:28:00
01001111,1_平日,01001111_1_平日_21:33:00
01001122,1_平日,01001122_1_平日_06:06:00
00080038104,1_平日,00080038104_1_平日_05:45:00
01001122,1_平日,01001122_1_平日_06:36:00
00080038104,1_平日,00080038104_1_平日_06:15:00
01001122,1_平日,01001122_1_平日_07:56:00
01001122,1_平日,01001122_1_平日_08:12:00
01001122,1_平日,01001122_1_平日_08:31:00
01001122,1_平日,01001122_1_平日_08:52:00
01001122,1_平日,01001122_1_平日_09:07:00
01001122,1_平日,01001122_1_平日_09:37:00
01001122,1_平日,01001122_1_平日_10:06:00
00080038104,1_平日,00080038104_1_平日_09:45:00
01001122,1_平日,01001122_1_平日_10:36:00
01001122,1_平日,01001122_1_平日_11:06:00
01001122,1_平日,01001122_1_平日_11:36:00
01001122,1_平日,01001122_1_平日_12:06:00
01001122,1_平日,01001122_1_平日_12:36:00
021106357,1_平日,021106357_1_平日_13:13:00
01001122,1_平日,01001122_1_平日_13:06:00
01001122,1_平日,01001122_1_平日_13:36:00
01001122,1_平日,01001122_1_平日_14:06:00
00080038104,1_平日,00080038104_1_平日_13:45:00
01001122,1_平日,01001122_1_平日_14:36:00
00080038104,1_平日,00080038104_1_平日_14:15:00
01001122,1_平日,01001122_1_平日_15:06:00
00080038104,1_平日,00080038104_1_平日_14:45:00
021106357,1_平日,021106357_1_平日_15:43:00
01001122,1_平日,01001122_1_平日_15:36:00
0211000885,1_平日,0211000885_1_平日_16:13:00
01001122,1_平日,01001122_1_平日_16:06:00
01001122,1_平日,01001122_1_平日_16:50:00
01001122,1_平日,01001122_1_平日_17:12:00
021106357,1_平日,021106357_1_平日_17:49:00
01001122,1_平日,01001122_1_平日_17:49:00
01001122,1_平日,01001122_1_平日_18:09:00
01001122,1_平日,01001122_1_平日_18:51:00
00080038104,1_平日,00080038104_1_平日_18:30:00
01001122,1_平日,01001122_1_平日_19:29:00
01001122,1_平日,01001122_1_平日_20:02:00
01001122,1_平日,01001122_1_平日_21:02:00
01001122,1_平日,01001122_1_平日_22:08:00
0211000885,1_平日,0211000885_1_平日_22:37:00
01002111,1_平日,01002111_1_平日_11:45:00
012700382,1_平日,012700382_1_平日_12:25:00
01002111,1_平日,01002111_1_平日_16:45:00
012700382,1_平日,012700382_1_平日_17:25:00
01002111,1_平日,01002111_1_平日_18:48:00
012700382,1_平日,012700382_1_平日_19:27:00
01002111,1_平日,01002111_1_平日_20:33:00
012700382,1_平日,012700382_1_平日_21:05:00
01002122,1_平日,01002122_1_平日_06:55:00
00080127125,1_平日,00080127125_1_平日_06:34:00
01004122,1_平日,01004122_1_平日_07:31:00
01004122,1_平日,01004122_1_平日_08:44:00
01004122,1_平日,01004122_1_平日_09:27:00
01004122,1_平日,01004122_1_平日_10:26:00
01004122,1_平日,01004122_1_平日_11:26:00
01004122,1_平日,01004122_1_平日_12:26:00
00080038104,1_平日,00080038104_1_平日_12:05:00
01004122,1_平日,01004122_1_平日_13:26:00
01004122,1_平日,01004122_1_平日_13:26:00
01004122,1_平日,01004122_1_平日_14:26:00
01004122,1_平日,01004122_1_平日_15:15:00
