00301222,営本,,13,,0008001_0630001_0222001_0417001_0007001_0117001_0224001_0314001_0229001_0621005_0621001_0219002,旭ヶ丘営業所_湊病院前_四本松（国道45号側）_新井田大橋_明戸_上明戸（国道45号側）_市民センター前（国道45号側）_館花下（国道45号側）_下大工町_八戸中心街ターミナル（六日町）_八戸中心街ターミナル（三日町）_市庁前,725,746,1_1_2_1_2_1_2_4_3_3_1,0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,___________,___________,___________,,,00301222_1_平日_07:25:00
00301411,Ｏ営,,14,,0038001_0303001_0255001_0013001_0427001_0234001_0621002_0428001_0314002_0224002_0117002_0007002_0417002_0222002_0630002,大杉平バスセンター（待合室前）_平中通（大杉平BC側）_新荒町_荒町_二十三日町_十三日町_八戸中心街ターミナル（八日町）_二十八日町_館花下（国道45号側）_市民センター前（国道45号側）_上明戸（国道45号側）_明戸_新井田大橋_四本松（国道45号側）_湊病院前,1439,1500,1_1_1_1_2_3_1_2_2_0_2_2_2_1,0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,______________,______________,______________,,,00301411_1_平日_14:39:00
00301422,営Ｏ,,15,,0008001_0630001_0222001_0417001_0007001_0117001_0224001_0314001_0229001_0621004_0236001_0255003_0303002,旭ヶ丘営業所_湊病院前_四本松（国道45号側）_新井田大橋_明戸_上明戸（国道45号側）_市民センター前（国道45号側）_館花下（国道45号側）_下大工町_八戸中心街ターミナル（朔日町）_十六日町_新荒町（平中通側）_平中通（新荒町側）,846,908,1_1_2_1_2_1_2_4_2_2_2_2,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,____________,____________,____________,,,00301422_1_平日_08:46:00
00301422,営Ｏ,,16,,0008001_0630001_0222001_0417001_0007001_0117001_0224001_0314001_0229001_0621004_0236001_0255003_0303002,旭ヶ丘営業所_湊病院前_四本松（国道45号側）_新井田大橋_明戸_上明戸（国道45号側）_市民センター前（国道45号側）_館花下（国道45号側）_下大工町_八戸中心街ターミナル（朔日町）_十六日町_新荒町（平中通側）_平中通（新荒町側）,1123,1144,1_1_2_1_2_1_2_3_2_2_2_2,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,____________,____________,____________,,,00301422_1_平日_11:23:00
00301422,営Ｏ,,17,,0008001_0630001_0222001_0417001_0007001_0117001_0224001_0314001_0229001_0621004_0236001_0255003_0303002,旭ヶ丘営業所_湊病院前_四本松（国道45号側）_新井田大橋_明戸_上明戸（国道45号側）_市民センター前（国道45号側）_館花下（国道45号側）_下大工町_八戸中心街ターミナル（朔日町）_十六日町_新荒町（平中通側）_平中通（新荒町側）,1235,1256,1_1_2_1_2_1_2_3_2_2_2_2,0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,____________,____________,____________,,,00301422_1_平日_12:35:00
00302122,営運三,,18,,0008001_0524001_0628001_0548001_0626001_0222001_0417001_0007001_0117001_0224001_0314001_0229099,旭ヶ丘営業所_東運動公園_湊高台二丁目_平和病院前_湊高台一丁目_四本松（国道45号側）_新井田大橋_明戸_上明戸（国道45号側）_市民センター前（国道45号側）_館花下（国道45号側）_下大工町,857,915,1_1_1_1_3_2_1_2_1_2_3,0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,___________,___________,___________,,,00302122_1_平日_08:57:00
00302122,営運三,,19,,0008001_0524001_0628001_0548001_0626001_0222001_0417001_0007001_0117001_0224001_0314001_0229099,旭ヶ丘営業所_東運動公園_湊高台二丁目_平和病院前_湊高台一丁目_四本松（国道45号側）_新井田大橋_明戸_上明戸（国道45号側）_市民センター前（国道45号側）_館花下（国道45号側）_下大工町,1547,1605,1_1_1_1_3_2_1_2_1_2_3,0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,___________,___________,___________,,,00302122_1_平日_15:47:00
00302211,本運営,,20,,0552001_0219001_0621002_0428001_0314002_0224002_0117002_0007002_0417002_0222003_0626002_0548002_0628002_0524002,本八戸駅_市庁前_八戸中心街ターミナル（八日町）_二十八日町_館花下（国道45号側）_市民センター前（国道45号側）_上明戸（国道45号側）_明戸_新井田大橋_四本松（新井田道側）_湊高台一丁目_平和病院前_湊高台二丁目_東運動公園,1225,1246,2_3_1_2_2_0_2_2_2_1_2_0_2,0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,_____________,_____________,_____________,,,00302211_1_平日_12:25:00
00302311,グ運営,,21,,0427001_0234001_0621002_0428001_0314002_0224002_0117002_0007002_0417002_0222003_0626002_0548002_0628002_0524002,二十三日町_十三日町_八戸中心街ターミナル（八日町）_二十八日町_館花下（国道45号側）_市民センター前（国道45号側）_上明戸（国道45号側）_明戸_新井田大橋_四本松（新井田道側）_湊高台一丁目_平和病院前_湊高台二丁目_東運動公園,1708,1729,2_3_1_2_2_0_2_2_2_1_2_0_2,0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,_____________,_____________,_____________,,,00302311_1_平日_17:08:00
00304422,営吹本,,22,,0008001_0012001_0009001_0010001_0638001_0418001_0409001_0416001_0280001_0281001_0154001_0319001_0025001_0538001_0398001_0225001_0236002_0621001_0219002,旭ヶ丘営業所_旭ヶ丘四丁目_旭ヶ丘団地_旭ヶ丘西口_見晴台_新井田団地前_中町_新井田_市民病院_毘沙門前_間ノ田_田向_一中前_吹上_鍛冶町通り_鍛冶町（血液センター側）_寺横町_八戸中心街ターミナル（三日町）_市庁前,631,656,2_2_0_1_1_1_1_3_1_2_1_1_2_1_1_2_2_1,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,__________________,__________________,__________________,,,00304422_1_平日_06:31:00
00304711,本吹イ営,,23,,0552001_0552001_0219001_0219001_0621003_0621003_0411001_0411001_0260001_0260001_0527001_0527001_0538002_0538002_0025002_0025002_0319002_0319002_0154002_0154002_0051001_0051001_0281002_0281002_0280001_0280001_0416002_0416002_0409002_0409002_0418002_0418002_0638002_0638002_0010002_0010002_0009001_0009001_0012002_0012002_0011001_0011001,本八戸駅_本八戸駅_市庁前_市庁前_八戸中心街ターミナル（中央通り）_八戸中心街ターミナル（中央通り）_長横町_長横町_新長横町_新長横町_東高校通_東高校通_吹上_吹上_一中前_一中前_田向_田向_間ノ田_間ノ田_イオン田向店_イオン田向店_毘沙門前_毘沙門前_市民病院_市民病院_新井田_新井田_中町_中町_新井田団地前_新井田団地前_見晴台_見晴台_旭ヶ丘西口_旭ヶ丘西口_旭ヶ丘団地_旭ヶ丘団地_旭ヶ丘四丁目_旭ヶ丘四丁目_旭ヶ丘東口（国道45号側）_旭ヶ丘東口（国道45号側）,1643,1717,0_2_0_3_0_1_0_1_0_1_0_1_0_1_0_2_0_3_0_2_0_3_0_3_0_1_0_2_0_1_0_1_0_1_0_2_0_1_0_2_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,_________________________________________,_________________________________________,_________________________________________,,,00304711_1_平日_16:43:00
00304711,本吹イ営,,24,,0552001_0552001_0219001_0219001_0621003_0621003_0411001_0411001_0260001_0260001_0527001_0527001_0538002_0538002_0025002_0025002_0319002_0319002_0154002_0154002_0051001_0051001_0281002_0281002_0280001_0280001_0416002_0416002_0409002_0409002_0418002_0418002_0638002_0638002_0010002_0010002_0009001_0009001_0012002_0012002_0011001_0011001,本八戸駅_本八戸駅_市庁前_市庁前_八戸中心街ターミナル（中央通り）_八戸中心街ターミナル（中央通り）_長横町_長横町_新長横町_新長横町_東高校通_東高校通_吹上_吹上_一中前_一中前_田向_田向_間ノ田_間ノ田_イオン田向店_イオン田向店_毘沙門前_毘沙門前_市民病院_市民病院_新井田_新井田_中町_中町_新井田団地前_新井田団地前_見晴台_見晴台_旭ヶ丘西口_旭ヶ丘西口_旭ヶ丘団地_旭ヶ丘団地_旭ヶ丘四丁目_旭ヶ丘四丁目_旭ヶ丘東口（国道45号側）_旭ヶ丘東口（国道45号側）,1643,1717,0_2_0_3_0_1_0_1_0_1_0_1_0_1_0_2_0_3_0_2_0_3_0_3_0_1_0_2_0_1_0_1_0_1_0_2_0_1_0_2_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,,,,1_平日,,,_________________________________________,_________________________________________,_________________________________________,,,00304711_1_平日_16:43:00
