0348	00301111	0621002	2	館花下	旭ヶ丘営業所	Ａ3	6	0428001	0	館花下	旭ヶ丘営業所	Ａ3	6	0314002	0		旭ヶ丘営業所	Ａ3	1	0224002	0		旭ヶ丘営業所	Ａ3	4	0117002	0		旭ヶ丘営業所	Ａ3	4	0007002	0		旭ヶ丘営業所	Ａ3	4	0417002	0		旭ヶ丘営業所	Ａ3	4	0222002	0		旭ヶ丘営業所	Ａ3	4	0630002	0		旭ヶ丘営業所	Ａ3	4	0008001	1				0
0348	00301122	0008001	2	館花下	中心街（朔日町）	Ｃ5	1	0630001	0	館花下	中心街（朔日町）	Ｃ5	1	0222001	0	館花下	中心街（朔日町）	Ｃ5	1	0417001	0	館花下	中心街（朔日町）	Ｃ5	1	0007001	0	館花下	中心街（朔日町）	Ｃ5	1	0117001	0	館花下	中心街（朔日町）	Ｃ5	1	0224001	0	館花下	中心街（朔日町）	Ｃ5	1	0314001	0		中心街（朔日町）	Ｃ5	1	0229099	0	館花下	中心街（朔日町）	Ｃ5	1	0621004	1				0
0348	00301211	0552001	2	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	7	0219001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	7	0621002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	6	0428001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	6	0314002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	1	0224002	0		旭ヶ丘営業所	Ａ3	4	0117002	0		旭ヶ丘営業所	Ａ3	4	0007002	0		旭ヶ丘営業所	Ａ3	4	0417002	0		旭ヶ丘営業所	Ａ3	4	0222002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	4	0630002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	4	0008001	1				0
0348	00301222	0008001	2	館花下・中心街(六)	本八戸駅	Ｐ50	5	0630001	0	館花下・中心街(六)	本八戸駅	Ｐ50	3	0222001	0	館花下・中心街(六)	本八戸駅	Ｐ50	3	0417001	0	館花下・中心街(六)	本八戸駅	Ｐ50	3	0007001	0	館花下・中心街(六)	本八戸駅	Ｐ50	3	0117001	0	館花下・中心街(六)	本八戸駅	Ｐ50	4	0224001	0	館花下・中心街(六)	本八戸駅	Ｐ50	4	0314001	0		本八戸駅	Ｐ50	4	0229001	0		本八戸駅	Ｐ50	55	0621005	0		本八戸駅	Ｐ50	55	0621001	0		本八戸駅	Ｐ50	10	0219002	0		本八戸駅	Ｐ50	8	0552001	1				0
0348	00301311	0427001	2	館花下	旭ヶ丘営業所	Ａ3	45	0234001	0	館花下	旭ヶ丘営業所	Ａ3	9	0621002	0	館花下	旭ヶ丘営業所	Ａ3	6	0428001	0	館花下	旭ヶ丘営業所	Ａ3	6	0314002	0	館花下	旭ヶ丘営業所	Ａ3	1	0224002	0		旭ヶ丘営業所	Ａ3	4	0117002	0		旭ヶ丘営業所	Ａ3	4	0007002	0		旭ヶ丘営業所	Ａ3	4	0417002	0		旭ヶ丘営業所	Ａ3	4	0222002	0		旭ヶ丘営業所	Ａ3	4	0630002	0	館花下	旭ヶ丘営業所	Ａ3	4	0008001	1				0
0348	00301411	0038001	2	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	20	0303001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	45	0255001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	40	0013001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	35	0427001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	45	0234001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	9	0621002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	6	0428001	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	6	0314002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	1	0224002	0		旭ヶ丘営業所	Ａ3	4	0117002	0		旭ヶ丘営業所	Ａ3	4	0007002	0		旭ヶ丘営業所	Ａ3	4	0417002	0		旭ヶ丘営業所	Ａ3	4	0222002	0		旭ヶ丘営業所	Ａ3	4	0630002	0	中心街(八)・館花下	旭ヶ丘営業所	Ａ3	4	0008001	1				0
0348	00301422	0008001	2	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	3	0630001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0222001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0417001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0007001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0117001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0224001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0314001	0		大杉平バスセンター	Ｆ1	2	0229001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	35	0621004	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	2	0236001	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	30	0255003	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	5	0303002	0	館花下・中心街(朔)	大杉平バスセンター	Ｆ1	1	0038001	1				0
0348	00302111	0621002	2	東運動公園	旭ヶ丘営業所	Ａ3	6	0428001	0	東運動公園	旭ヶ丘営業所	Ａ3	6	0314002	0	東運動公園	旭ヶ丘営業所	Ａ3	1	0224002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0117002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0007002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0417002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0222003	0	東運動公園	旭ヶ丘営業所	Ａ3	6	0626002	0	東運動公園	旭ヶ丘営業所	Ａ3	1	0548002	0		旭ヶ丘営業所	Ａ3	1	0628002	0		旭ヶ丘営業所	Ａ3	1	0524002	0		旭ヶ丘営業所	Ａ3	1	0008001	1				0
0348	00302122	0008001	2	東運動公園	中心街（朔日町）	Ｃ5	1	0524001	0	館花下	中心街（朔日町）	Ｃ5	1	0628001	0	館花下	中心街（朔日町）	Ｃ5	1	0548001	0	館花下	中心街（朔日町）	Ｃ5	1	0626001	0	館花下	中心街（朔日町）	Ｃ5	1	0222001	0	東運動公園	中心街（朔日町）	Ｃ5	1	0417001	0	館花下	中心街（朔日町）	Ｃ5	1	0007001	0	館花下	中心街（朔日町）	Ｃ5	1	0117001	0	館花下	中心街（朔日町）	Ｃ5	1	0224001	0	館花下	中心街（朔日町）	Ｃ5	1	0314001	0	東運動公園	中心街（朔日町）	Ｃ5	1	0229099	0	東運動公園	中心街（朔日町）	Ｃ5	1	0621004	1				0
0348	00302211	0552001	2	東運動公園	旭ヶ丘営業所	Ａ3	7	0219001	0	東運動公園	旭ヶ丘営業所	Ａ3	7	0621002	0	東運動公園	旭ヶ丘営業所	Ａ3	6	0428001	0	東運動公園	旭ヶ丘営業所	Ａ3	6	0314002	0	東運動公園	旭ヶ丘営業所	Ａ3	1	0224002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0117002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0007002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0417002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0222003	0	館花下	旭ヶ丘営業所	Ａ3	6	0626002	0	館花下	旭ヶ丘営業所	Ａ3	1	0548002	0	館花下	旭ヶ丘営業所	Ａ3	1	0628002	0	館花下	旭ヶ丘営業所	Ａ3	1	0524002	0	館花下	旭ヶ丘営業所	Ａ3	1	0008001	1				0
0348	00302311	0427001	2	東運動公園	旭ヶ丘営業所	Ａ3	45	0234001	0	東運動公園	旭ヶ丘営業所	Ａ3	9	0621002	0	東運動公園	旭ヶ丘営業所	Ａ3	6	0428001	0	東運動公園	旭ヶ丘営業所	Ａ3	6	0314002	0	東運動公園	旭ヶ丘営業所	Ａ3	1	0224002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0117002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0007002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0417002	0	東運動公園	旭ヶ丘営業所	Ａ3	4	0222003	0	館花下	旭ヶ丘営業所	Ａ3	6	0626002	0	館花下	旭ヶ丘営業所	Ａ3	1	0548002	0	館花下	旭ヶ丘営業所	Ａ3	1	0628002	0	館花下	旭ヶ丘営業所	Ａ3	1	0524002	0	館花下	旭ヶ丘営業所	Ａ3	1	0008001	1				0
